,study.id,study.type,continent,study.yrs,exp.duration,yrs,lat,long,elevation ,map,mat,phot,dom.plant,plant.life,plant.season,aridity.index,Aridity Index,humid,clim,PET,MAP.clim,MAT.clim,system,sub.system,soil.class,sand,clay,silt,starting.bD,starting.bD.units,reps.exp,reps.control,graz.exp.rate,graz.control.rate,graz.exp.strat,graz.control.strat,animal1.exp.rate,animal1.exp,animal2.exp.rate,animal2.exp,animal1.control.rate,animal1.control,animal2.control.rate,animal2.control,animal.unit,animal.rate.unit,soil.upper,soil.lower,soil.dept,meanBD.exp,sdBD.exp,seBD.exp,meanBD.control,sdBD.control,seBD.control,BD.units,BD?,meanSOC.exp,sdSOC.exp,seSOC.exp,meanSOC.control,sdSOC.control,seSOC.control,SOC.units,meanSOC.exp.gkg,sdSOC.exp.gkg,seSOC.exp.gkg,meanSOC.control.gkg,sdSOC.control.gkg,seSOC.control.gkg,SOC.units,SOC?,seWHC.exp,meanWHC.control,seWHC.control,WHC.units,meanSOM.exp,sdSOM.exp,seSOM.exp,meanSOM.control,sdSOM.control,seSOM.control,SOM.units,meanSOM.exp.gkg,sdSOM.exp.gkg,seSOM.exp.gkg,meanSOM.control.gkg,sdSOM.control.gkg,seSOM.control.gkg,SOM.units.gkg,meanCN.exp,sdCN.exp,seCN.exp,meanCN.control,sdCN.control,seCN.control,CN.units,CN?,meanTN.exp,sdTN.exp,seTN.exp,meanTN.control,sdTN.control,seTN.control,TN.units,meanTN.exp.gkg,sdTN.exp.gkg,seTN.exp.gkg,meanTN.control.gkg,sdTN.control.gkg,seTN.control.gkg,TN.units,meanN2O.exp,seN2O.exp,meanN2O.control,seN2O.control,N2O.units,meanCO2.exp,seCO2.exp,meanCO2.control,seCO2.control,CO2.units,meanER.exp,seER.exp,meanER.control,seER.control,ER.units,meanNPP.exp,sdNPP.exp,seNPP.exp,meanNPP.control,sdNPP.control,seNPP.control,NPP.units,Notes
,8,article,south america,7,7,2,-29.55,-51.483333,1100,1900,17.5,mix,mix,annual,warm,1.1137,1.1137,humid,warm,1292,1366,18.2,heavyegrated livestock,,5,61.4,,,,,3,3,none,moderate,none,cont,,,,,,,,,,,0,5,1,,,,,,,g cm-3,0,1.856,0.031151747,,46,1.007036012,0.581412513,g kg-1,50,0.839217335,0.484522354,46,1.007036012,0.581412513,g kg-1,1,,,,,,,,,,,,,,,,,,,13.1,,,13.3,,,,1,,,,,,,g kg-1,,,,,,,g kg-1,0,,,,,,,,,,,,,,,,,,,,,,
,8,article,south america,12,12,2,-29.05,-53.833333,465,1850,19,mix,mix,annual,cool,1.2723,1.2723,humid,warm,1384,1744,17.6,heavyegrated livestock,,5,54,,,,,3,3,none,moderate,none,cont,,,,,,,,,,,0,5,1,,,,,,,g cm-3,0,50,0.839217335,0.484522354,30,0.656762617,0.379182073,g kg-1,31,0.520314748,0.30040386,30,0.656762617,0.379182073,g kg-1,1,,,,,,,,,,,,,,,,,,,10.9,,,10.7,,,,1,,,,,,,g kg-1,,,,,,,g kg-1,0,,,,,,,,,,,,,,,,,,,,,,
,8,article,south america,10,10,2,-30.083333,-51.65,46,1440,19.6,mix,mix,annual,warm,0.9788,0.9788,humid,warm,1325,1553,18.5,heavyegrated livestock,,0,15.5,,,,,3,3,none,moderate,none,cont,,,,,,,,,,,0,5,1,,,,,,,g cm-3,0,31,0.520314748,0.30040386,18,0.39405757,0.227509244,g kg-1,20,0.335686934,0.193808942,18,0.39405757,0.227509244,g kg-1,1,,,,,,,,,,,,,,,,,,,10.4,,,10.7,,,,1,,,,,,,g kg-1,,,,,,,g kg-1,0,,,,,,,,,,,,,,,,,,,,,,
,8,article,south america,10,10,2,-29.561111,-52.322222,537,1730,18.7,mix,mix,annual,warm,1.0592,1.0592,humid,warm,1282,1396,18.3,heavyegrated livestock,,0,,,,,,3,3,none,moderate,none,cont,,,,,,,,,,,0,5,1,,,,,,,g cm-3,0,20,0.335686934,0.193808942,31,0.678654704,0.391821476,g kg-1,34,0.570667788,0.329475201,31,0.678654704,0.391821476,g kg-1,1,,,,,,,,,,,,,,,,,,,11.5,,,11.6,,,,1,,,,,,,g kg-1,,,,,,,g kg-1,0,,,,,,,,,,,,,,,,,,,,,,
,11,article,africa,2,2,1,-28.8,29.35,1268,684,13,c3,poaceae,perennial,cool,0.6804,0.6804,sub-humid,warm,1446,861,15.9,,,5,66,20,15,1.471666667,g cm-3,3,3,,,cont,none,,,,,,,,,,,0,50,3,,,,,,,,0,2.85,0.692820323,0.4,0.15,0.173205081,0.1,%,28.5,6.92820323,4,1.5,1.73205081,1,g kg-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,11,article,africa,2,2,1,-28.8,29.35,1268,684,13,c3,poaceae,perennial,cool,0.6804,0.6804,sub-humid,warm,1446,861,15.9,,,5,66,20,15,1.471666667,g cm-3,3,3,,,cont,none,,,,,,,,,,,0,50,3,,,,,,,,0,4.95,0.108365832,0.062565042,0.59,0.519615242,0.3,%,49.5,1.083658317,0.625650421,5.9,5.19615242,3,g kg-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,11,article,africa,2,2,1,-28.8,29.35,1268,684,13,c3,poaceae,perennial,cool,0.6804,0.6804,sub-humid,warm,1446,861,15.9,,,5,66,20,15,1.471666667,g cm-3,3,3,,,cont,none,,,,,,,,,,,0,50,3,,,,,,,,0,-0.3,0.207846097,0.12,-2.17,1.125833025,0.65,%,-3,2.078460969,1.2,-21.7,11.25833025,6.5,g kg-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,11,article,africa,2,2,1,-28.8,29.35,1268,684,13,c3,poaceae,perennial,cool,0.6804,0.6804,sub-humid,warm,1446,861,15.9,,,5,66,20,15,1.471666667,g cm-3,3,3,,,cont,none,,,,,,,,,,,0,50,3,,,,,,,,0,0,,,-1.5,0.866025404,0.5,%,,,,-15,8.66025404,5,g kg-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,11,article,africa,2,2,1,-28.8,29.35,1268,684,13,c3,poaceae,perennial,cool,0.6804,0.6804,sub-humid,warm,1446,861,15.9,,,5,66,20,15,1.471666667,g cm-3,3,3,,,cont,none,,,,,,,,,,,0,50,3,,,,,,,,0,1.86,0.225166605,0.13,-0.73,0.675499815,0.39,%,18.6,2.25166605,1.3,-7.3,6.75499815,3.9,g kg-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,11,article,africa,2,2,1,-28.8,29.35,1268,684,13,c3,poaceae,perennial,cool,0.6804,0.6804,sub-humid,warm,1446,861,15.9,,,5,66,20,15,,,3,3,,,none,cont,,,,,,,,,,,0,50,3,,,,,,,g cm-3,0,34,0.570667788,0.329475201,2.85,0.692820323,0.4,%,1.5,1.73205081,1,28.5,6.92820323,4,g kg-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,g kg-1,,,,,,,g kg-1,0,,,,,,,,,,,,,,,,,,,,,,
